movie_titles,movie_urls,movies_release_years,movies_genres,movies_runtimes,movies_age_ratings,movies_imdb_ratings,movies_streaming_availability
Guntur Kaaram,https://www.justwatch.com/in/movie/ssmb-28,2024,"Action & Adventure, Drama, Kids & Family",2h,UA,6.4,Streaming not available
Lift,https://www.justwatch.com/in/movie/lift-0,2024,"Comedy, Crime, Drama, Mystery & Thriller, Action & Adventure",1h,Age rating not found,5.5,Netflix.
Hanu-Man,https://www.justwatch.com/in/movie/hanu-man,2024,"Fantasy, Action & Adventure, Comedy, Science-Fiction",2h,UA,8.6,Streaming not available
Merry Christmas,https://www.justwatch.com/in/movie/merry-christmas-2024,2024,"Drama, Mystery & Thriller",2h,UA,8.0,Streaming not available
Extra Ordinary Man,https://www.justwatch.com/in/movie/extra,2023,"Drama, Action & Adventure",2h,Age rating not found,6.0,Streaming not available
Role Play,https://www.justwatch.com/in/movie/role-play-2023,2023,"Comedy, Action & Adventure, Romance",1h,Age rating not found,5.4,Amazon Prime Video.
Fast X,https://www.justwatch.com/in/movie/fast-x,2023,"Crime, Mystery & Thriller, Action & Adventure",2h,UA,5.8,"Jio Cinema. It is also possible to buy ""Fast X"" on Apple TV, Google Play Movies, YouTube as download or rent it on Zee5, Amazon Video, Apple TV, Google Play Movies, YouTube online."
Antony,https://www.justwatch.com/in/movie/antony-2023,2023,"Action & Adventure, Drama, Kids & Family, Mystery & Thriller",2h,Age rating not found,6.8,Amazon Prime Video.
Sapta Sagaradaache Ello: Side B,https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b,2023,"Drama, Romance",2h,UA,8.4,Amazon Prime Video.
Neru,https://www.justwatch.com/in/movie/neru,2023,"Drama, Mystery & Thriller",2h,UA,7.7,Streaming not available
12th Fail,https://www.justwatch.com/in/movie/12th-fail,2023,Drama,2h,Age rating not found,9.2,Hotstar.
Jailer,https://www.justwatch.com/in/movie/jailer,2023,"Comedy, Action & Adventure, Crime, Mystery & Thriller",2h,UA,7.1,"Amazon Prime Video, Sun Nxt or rent it on Amazon Video online."
Pathaan,https://www.justwatch.com/in/movie/pathaan,2023,"Mystery & Thriller, Action & Adventure",2h,Age rating not found,5.9,"Amazon Prime Video. It is also possible to buy ""Pathaan"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Google Play Movies, YouTube, Apple TV online."
Leave the World Behind,https://www.justwatch.com/in/movie/leave-the-world-behind-2023,2023,"Science-Fiction, Drama, Mystery & Thriller",2h,Age rating not found,6.5,Netflix.
Rebel Moon: Part One - A Child of Fire,https://www.justwatch.com/in/movie/rebel-moon,2023,"Action & Adventure, Drama, Fantasy, Science-Fiction",2h,Age rating not found,5.6,Netflix.
Tejas,https://www.justwatch.com/in/movie/tejas,2023,"Action & Adventure, Drama, Mystery & Thriller",1h,Age rating not found,6.1,Streaming not available
Godzilla Minus One,https://www.justwatch.com/in/movie/godzilla-minus-one,2023,"Horror, Drama, Science-Fiction, Action & Adventure",2h,Age rating not found,8.3,Streaming not available
Curry & Cyanide: The Jolly Joseph Case,https://www.justwatch.com/in/movie/curry-and-cyanide-the-jolly-joseph-case,2023,"Documentary, Crime",1h,Age rating not found,,Netflix.
Dada,https://www.justwatch.com/in/movie/dada-2023,2023,"Drama, Comedy, Romance, Kids & Family",2h,U,8.2,Amazon Prime Video.
The Holdovers,https://www.justwatch.com/in/movie/the-holdovers,2023,"Drama, Comedy",2h,Age rating not found,,Streaming not available
DD Returns,https://www.justwatch.com/in/movie/dd-returns,2023,"Comedy, Horror",2h,UA,6.2,"Amazon Prime Video, Zee5."
My Name Is Shruthi,https://www.justwatch.com/in/movie/my-name-is-shruthi,2023,"Mystery & Thriller, Crime",2h,UA,8.1,Amazon Prime Video.
Anyone But You,https://www.justwatch.com/in/movie/anyone-but-you,2023,"Comedy, Romance",1h,Age rating not found,6.6,Streaming not available
Expend4bles,https://www.justwatch.com/in/movie/the-expendables-4,2023,"Action & Adventure, Mystery & Thriller, War & Military",1h,Age rating not found,4.8,Lionsgate Play.
The Abandoned,https://www.justwatch.com/in/movie/the-abandoned-2023,2023,"Mystery & Thriller, Drama, Crime",1h,Age rating not found,6.3,Netflix.
John Wick: Chapter 4,https://www.justwatch.com/in/movie/john-wick-chapter-4,2023,"Crime, Action & Adventure, Mystery & Thriller",2h,Age rating not found,7.7,"Lionsgate Play. It is also possible to buy ""John Wick: Chapter 4"" on Apple TV, Google Play Movies, YouTube as download or rent it on Apple TV, Google Play Movies, YouTube online."
Maestro,https://www.justwatch.com/in/movie/maestro-2021-1,2023,"Romance, Drama, History, Music & Musical",2h,Age rating not found,6.7,Netflix.
Joe,https://www.justwatch.com/in/movie/joe-2023,2023,Drama,2h,Age rating not found,7.7,Streaming not available
Falimy,https://www.justwatch.com/in/movie/falimy,2023,Drama,2h,Age rating not found,7.3,Hotstar.
Mission Raniganj,https://www.justwatch.com/in/movie/the-great-indian-rescue,2023,"Drama, History, Mystery & Thriller, Action & Adventure",2h,Age rating not found,7.3,Netflix.
OMG 2,https://www.justwatch.com/in/movie/omg-2,2023,"Comedy, Drama",2h,A,7.6,Netflix.
Fukrey 3,https://www.justwatch.com/in/movie/fukrey-3,2023,"Drama, Comedy, Crime, Mystery & Thriller",2h,UA,6.2,Amazon Prime Video or rent it on Amazon Video online.
Wonka,https://www.justwatch.com/in/movie/wonka,2023,"Comedy, Kids & Family, Fantasy",1h,U,7.2,Streaming not available
Kannur Squad,https://www.justwatch.com/in/movie/kannur-squad,2023,"Action & Adventure, Crime, Drama, Mystery & Thriller",2h,UA,7.7,Hotstar.
May December,https://www.justwatch.com/in/movie/may-december,2023,"Drama, Comedy",1h,Age rating not found,6.9,Streaming not available
