tv_show_titles,tv_show_urls,tv_shows_runtimes,tv_shows_age_ratings,tv_shows_imdb_ratings,tv_shows_genres,tv_shows_release_years,tv_shows_streaming_availability
The Brothers Sun,https://www.justwatch.com/in/movie/curry-and-cyanide-the-jolly-joseph-case,55min,Age rating not found,7.7,"Comedy, Drama, Action & Adventure, Crime",2024,Netflix.
Killer Soup,https://www.justwatch.com/in/movie/devil-2023,49min,Age rating not found,6.3,"Drama, Mystery & Thriller, Comedy",2024,Netflix.
Perilloor Premier League,https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b,37min,U,7.5,"Comedy, Drama",2024,Hotstar.
Detective Forst,https://www.justwatch.com/in/movie/antony-2023,43min,Age rating not found,5.5,"Crime, Drama",2024,Netflix.
Death and Other Details,https://www.justwatch.com/in/movie/the-creator,46min,Age rating not found,7.1,"Mystery & Thriller, Drama, Crime",2024,Hotstar.
Marry My Husband,https://www.justwatch.com/in/movie/toby,1h,Age rating not found,8.2,"Drama, Fantasy, Romance, Comedy, Science-Fiction",2024,Amazon Prime Video.
Fool Me Once,https://www.justwatch.com/in/movie/talk-to-me-2022,48min,Age rating not found,6.9,"Mystery & Thriller, Crime, Drama",2024,Netflix.
Kübra,https://www.justwatch.com/in/movie/tumbbad,43min,Age rating not found,6.4,"Drama, Mystery & Thriller",2024,Netflix.
ted,https://www.justwatch.com/in/movie/omg-2,41min,Age rating not found,8.1,Comedy,2024,Streaming not available
Criminal Record,https://www.justwatch.com/in/movie/avatar-2,45min,A,7.3,"Mystery & Thriller, Crime, Drama",2024,Apple TV Plus.
The Unwanted Undead Adventurer,https://www.justwatch.com/in/movie/john-wick-chapter-4,24min,Age rating not found,,"Science-Fiction, Action & Adventure",2024,"Netflix, Crunchyroll or for free with ads on Crunchyroll."
Indian Police Force,https://www.justwatch.com/in/movie/jawan,38min,A,5.2,"Action & Adventure, Crime",2024,Amazon Prime Video.
Solo Leveling,https://www.justwatch.com/in/movie/kho-gaye-hum-kahan,23min,Age rating not found,8.5,"Animation, Action & Adventure, Fantasy, Science-Fiction",2024,Crunchyroll or for free with ads on Crunchyroll.
Echo,https://www.justwatch.com/in/movie/godzilla-minus-one,41min,Age rating not found,6.1,"Drama, Action & Adventure, Science-Fiction, Crime",2024,Streaming not available
Blue Eye Samurai,https://www.justwatch.com/in/movie/maestro-2021-1,47min,A,8.8,"Mystery & Thriller, Animation, Action & Adventure, Drama, History",2023,Netflix.
Dehati Ladke,https://www.justwatch.com/in/movie/rebel-moon,24min,Age rating not found,7.3,Drama,2023,Amazon miniTV for free with ads.
Gen V,https://www.justwatch.com/in/movie/roudram-ranam-rudhiram,47min,Age rating not found,7.8,"Science-Fiction, Action & Adventure, Drama, Comedy",2023,Amazon Prime Video.
The Night Manager,https://www.justwatch.com/in/movie/fukrey-3,52min,A,7.6,"Crime, Drama, Mystery & Thriller, Action & Adventure",2023,Hotstar or for free with ads on Hotstar.
The Curse,https://www.justwatch.com/in/movie/my-name-is-shruthi,53min,Age rating not found,7.1,"Comedy, Drama, Mystery & Thriller",2023,Lionsgate Play.
Kaala Paani,https://www.justwatch.com/in/movie/aquaman,1h,Age rating not found,8.0,"Drama, Mystery & Thriller",2023,Netflix.
A Murder at the End of the World,https://www.justwatch.com/in/movie/the-abandoned-2023,1h,Age rating not found,7.1,"Drama, Mystery & Thriller, Crime",2023,Hotstar.
ONE PIECE,https://www.justwatch.com/in/movie/mad-max-fury-road,56min,Age rating not found,8.4,"Science-Fiction, Action & Adventure, Fantasy, Comedy, Drama",2023,Netflix.
Obliterated,https://www.justwatch.com/in/movie/dunkirk,51min,A,6.7,"Comedy, Action & Adventure, Drama",2023,Netflix.
Scam 2003: The Telgi Story,https://www.justwatch.com/in/movie/365-days,44min,Age rating not found,7.9,"Drama, Crime",2023,Sony Liv.
Berlin,https://www.justwatch.com/in/movie/animal-2022,48min,Age rating not found,7.0,"Drama, Action & Adventure, Crime, Mystery & Thriller",2023,Netflix.
The Freelancer,https://www.justwatch.com/in/movie/oppenheimer,50min,Age rating not found,8.1,"Action & Adventure, Mystery & Thriller, Drama",2023,Hotstar or for free with ads on Hotstar.
Farzi,https://www.justwatch.com/in/movie/dunki,56min,Age rating not found,8.4,"Crime, Drama, Mystery & Thriller",2023,Amazon Prime Video.
The Last of Us,https://www.justwatch.com/in/movie/mangalavaram,58min,A,8.8,"Drama, Horror, Science-Fiction, Mystery & Thriller, Action & Adventure",2023,Jio Cinema.
Monarch: Legacy of Monsters,https://www.justwatch.com/in/movie/the-kerala-story,46min,Age rating not found,7.0,"Drama, Science-Fiction, Action & Adventure",2023,Apple TV Plus.
My Demon,https://www.justwatch.com/in/movie/saltburn,1h,Age rating not found,7.9,"Science-Fiction, Drama, Fantasy, Romance, Comedy",2023,Netflix.
The Railway Men - The Untold Story of Bhopal 1984,https://www.justwatch.com/in/movie/chittha,59min,Age rating not found,8.5,"Drama, Mystery & Thriller, History",2023,Netflix.
Death's Game,https://www.justwatch.com/in/movie/society-of-the-snow,51min,Age rating not found,8.8,"Science-Fiction, Drama, Fantasy",2023,Amazon Prime Video.
Taaza Khabar,https://www.justwatch.com/in/movie/guthlee-ladoo,29min,Age rating not found,8.1,"Science-Fiction, Drama, Mystery & Thriller, Action & Adventure, Comedy, Fantasy",2023,Hotstar or for free with ads on Hotstar.
Gyeongseong Creature,https://www.justwatch.com/in/movie/zara-hatke-zara-bach-ke,1h,Age rating not found,7.4,"Action & Adventure, Drama, History, Horror, Mystery & Thriller",2023,Netflix.
