movie_titles,movie_urls,movies_release_years,movies_genres,movies_runtimes,movies_age_ratings,movies_imdb_ratings,movies_streaming_availability
12th Fail,https://www.justwatch.com/in/movie/12th-fail,2023,Drama,2h,Age rating not found,9.2,Hotstar.
Animal,https://www.justwatch.com/in/movie/animal-2022,2023,"Drama, Action & Adventure, Mystery & Thriller, Crime",3h,A,6.7,Netflix.
Salaar,https://www.justwatch.com/in/movie/salaar,2023,"Crime, Drama, Mystery & Thriller, Action & Adventure",2h,A,6.6,Netflix.
Tiger 3,https://www.justwatch.com/in/movie/tiger-3,2023,"Action & Adventure, Mystery & Thriller",2h,Age rating not found,6.4,Amazon Prime Video.
Hi Nanna,https://www.justwatch.com/in/movie/nani30,2023,"Drama, Kids & Family, Romance",2h,U,8.3,Netflix.
Oppenheimer,https://www.justwatch.com/in/movie/oppenheimer,2023,"Drama, History",3h,UA,8.4,Streaming not available
Parking,https://www.justwatch.com/in/movie/parking-2023,2023,"Mystery & Thriller, Drama",2h,UA,8.0,Hotstar.
Mission: Impossible - Dead Reckoning Part One,https://www.justwatch.com/in/movie/mission-impossible-7,2023,"Mystery & Thriller, Action & Adventure",2h,Age rating not found,7.7,"Amazon Prime Video. It is also possible to buy ""Mission: Impossible - Dead Reckoning Part One"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online."
Kho Gaye Hum Kahan,https://www.justwatch.com/in/movie/kho-gaye-hum-kahan,2023,"Drama, Comedy, Romance",2h,Age rating not found,7.9,Netflix.
Kaathal – The Core,https://www.justwatch.com/in/movie/kaathal-the-core,2023,"Drama, Crime",1h,UA,7.6,Amazon Prime Video.
Killers of the Flower Moon,https://www.justwatch.com/in/movie/killers-of-the-flower-moon,2023,"Crime, History, Drama, Romance, Western",3h,A,7.7,Apple TV Plus or buy it as download on Apple TV.
Jawan,https://www.justwatch.com/in/movie/jawan,2023,"Mystery & Thriller, Action & Adventure",2h,UA,7.0,"Netflix. It is also possible to buy ""Jawan"" on Google Play Movies, YouTube as download or rent it on Google Play Movies, YouTube online."
Dunki,https://www.justwatch.com/in/movie/dunki,2023,"Drama, Comedy",2h,Age rating not found,7.3,Streaming not available
Mangalavaaram,https://www.justwatch.com/in/movie/mangalavaram,2023,"Action & Adventure, Horror, Mystery & Thriller",2h,Age rating not found,6.7,Hotstar.
The Kerala Story,https://www.justwatch.com/in/movie/the-kerala-story,2023,Drama,2h,A,7.2,Streaming not available
Devil,https://www.justwatch.com/in/movie/devil-2023,2023,"Mystery & Thriller, Drama, Action & Adventure",2h,Age rating not found,6.8,Amazon Prime Video or rent it on Amazon Video online.
Saltburn,https://www.justwatch.com/in/movie/saltburn,2023,"Comedy, Mystery & Thriller, Drama",2h,Age rating not found,7.1,Streaming not available
Talk to Me,https://www.justwatch.com/in/movie/talk-to-me-2022,2023,"Horror, Mystery & Thriller",1h,Age rating not found,7.1,"Amazon Prime Video. It is also possible to buy ""Talk to Me"" on Google Play Movies, YouTube, Apple TV as download or rent it on Google Play Movies, YouTube, Apple TV online."
Barbie,https://www.justwatch.com/in/movie/barbie-2023,2023,"Comedy, Fantasy",1h,UA,6.9,"Jio Cinema. It is also possible to buy ""Barbie"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online."
Hanu-Man,https://www.justwatch.com/in/movie/hanu-man,2024,"Fantasy, Action & Adventure, Comedy, Science-Fiction",2h,UA,8.6,Streaming not available
Chithha,https://www.justwatch.com/in/movie/chittha,2023,"Drama, Mystery & Thriller",2h,UA,8.3,Hotstar.
Three of Us,https://www.justwatch.com/in/movie/three-of-us,2023,Drama,1h,Age rating not found,7.6,Netflix.
Sam Bahadur,https://www.justwatch.com/in/movie/sam-bahadur,2023,"Drama, War & Military, History",2h,UA,8.2,Streaming not available
Anatomy of a Fall,https://www.justwatch.com/in/movie/anatomie-dune-chute,2023,"Drama, Crime, Mystery & Thriller",2h,Age rating not found,7.8,Streaming not available
