tv_show_titles,tv_show_urls,tv_shows_runtimes,tv_shows_age_ratings,tv_shows_imdb_ratings,tv_shows_genres,tv_shows_release_years,tv_shows_streaming_availability
Reacher,https://www.justwatch.com/in/movie/12th-fail,48min,A,8.1,"Crime, Drama, Mystery & Thriller, Action & Adventure",2022,Amazon Prime Video.
Berlin,https://www.justwatch.com/in/movie/animal-2022,48min,Age rating not found,7.0,"Drama, Action & Adventure, Crime, Mystery & Thriller",2023,Netflix.
Game of Thrones,https://www.justwatch.com/in/movie/salaar,58min,U,9.2,"Drama, Action & Adventure, Science-Fiction, Fantasy",2011,Jio Cinema.
Mirzapur,https://www.justwatch.com/in/movie/tiger-3,36min,Age rating not found,8.5,"Crime, Action & Adventure, Drama, Mystery & Thriller",2018,Amazon Prime Video.
True Detective,https://www.justwatch.com/in/movie/nani30,1h,U,8.9,"Drama, Crime, Mystery & Thriller",2014,Jio Cinema.
The Freelancer,https://www.justwatch.com/in/movie/oppenheimer,50min,Age rating not found,8.1,"Action & Adventure, Mystery & Thriller, Drama",2023,Hotstar or for free with ads on Hotstar.
Bigg Boss,https://www.justwatch.com/in/movie/parking-2023,1h,Age rating not found,3.7,"Reality TV, Kids & Family",2006,Tata Play or for free with ads on Voot.
What If...?,https://www.justwatch.com/in/movie/mission-impossible-7,32min,Age rating not found,7.5,"Science-Fiction, Animation, Action & Adventure",2021,Hotstar.
Solo Leveling,https://www.justwatch.com/in/movie/kho-gaye-hum-kahan,23min,Age rating not found,8.5,"Animation, Action & Adventure, Fantasy, Science-Fiction",2024,Crunchyroll or for free with ads on Crunchyroll.
Jujutsu Kaisen,https://www.justwatch.com/in/movie/kaathal-the-core,23min,Age rating not found,8.6,"Mystery & Thriller, Animation, Action & Adventure, Fantasy, Science-Fiction",2020,"Netflix, Crunchyroll or for free with ads on Crunchyroll."
The Legend of Hanuman,https://www.justwatch.com/in/movie/killers-of-the-flower-moon,21min,Age rating not found,9.2,"Animation, Action & Adventure, Fantasy",2021,Hotstar or for free with ads on Hotstar.
Indian Police Force,https://www.justwatch.com/in/movie/jawan,38min,A,5.2,"Action & Adventure, Crime",2024,Amazon Prime Video.
Farzi,https://www.justwatch.com/in/movie/dunki,56min,Age rating not found,8.4,"Crime, Drama, Mystery & Thriller",2023,Amazon Prime Video.
The Last of Us,https://www.justwatch.com/in/movie/mangalavaram,58min,A,8.8,"Drama, Horror, Science-Fiction, Mystery & Thriller, Action & Adventure",2023,Jio Cinema.
Monarch: Legacy of Monsters,https://www.justwatch.com/in/movie/the-kerala-story,46min,Age rating not found,7.0,"Drama, Science-Fiction, Action & Adventure",2023,Apple TV Plus.
Killer Soup,https://www.justwatch.com/in/movie/devil-2023,49min,Age rating not found,6.3,"Drama, Mystery & Thriller, Comedy",2024,Netflix.
My Demon,https://www.justwatch.com/in/movie/saltburn,1h,Age rating not found,7.9,"Science-Fiction, Drama, Fantasy, Romance, Comedy",2023,Netflix.
Fool Me Once,https://www.justwatch.com/in/movie/talk-to-me-2022,48min,Age rating not found,6.9,"Mystery & Thriller, Crime, Drama",2024,Netflix.
Maharani,https://www.justwatch.com/in/movie/barbie-2023,44min,UA,7.9,Drama,2021,"Sony Liv, VI movies and tv."
The Bear,https://www.justwatch.com/in/movie/hanu-man,34min,Age rating not found,8.6,"Drama, Comedy",2022,Hotstar.
The Railway Men - The Untold Story of Bhopal 1984,https://www.justwatch.com/in/movie/chittha,59min,Age rating not found,8.5,"Drama, Mystery & Thriller, History",2023,Netflix.
Aashram,https://www.justwatch.com/in/movie/three-of-us,43min,Age rating not found,7.4,"Crime, Drama, Mystery & Thriller",2020,MX Player for free with ads.
Yellowstone,https://www.justwatch.com/in/movie/sam-bahadur,50min,Age rating not found,8.7,"Drama, Western",2018,Netflix.
